epoch,train_mae,val_mae
1,13458.681640625,12259.349609375
2,13415.806640625,12182.0556640625
3,13309.3134765625,12037.767578125
4,13136.7373046875,11827.1982421875
5,12898.587890625,11557.3310546875
6,12592.7744140625,11221.50390625
7,12241.6953125,10833.728515625
8,11825.3427734375,10390.50390625
9,11362.23046875,9710.26953125
10,10861.009765625,9171.7587890625
11,10300.6005859375,8652.7802734375
12,9709.0009765625,8433.3330078125
13,9105.921875,7748.13671875
14,8482.1103515625,7497.853515625
15,7922.255859375,7127.017578125
16,7299.5068359375,6813.708984375
17,6825.97705078125,6303.8759765625
18,6487.08447265625,5680.82958984375
19,6024.546875,5325.6796875
20,5800.2158203125,4855.419921875
21,5406.1513671875,4665.89501953125
22,5348.07080078125,4702.78271484375
23,5071.8525390625,5060.58837890625
24,4915.029296875,4171.0546875
25,4958.9052734375,3906.96728515625
26,4915.48193359375,3656.875
27,4674.4033203125,3478.574951171875
28,4427.474609375,3475.31201171875
29,4545.37841796875,3332.93994140625
30,4345.97216796875,2958.88720703125
31,4346.505859375,3183.576171875
32,4241.3056640625,3029.2958984375
33,4222.740234375,2968.426513671875
34,4399.48681640625,2867.865478515625
35,4428.10107421875,2734.538818359375
36,4231.4189453125,2593.826904296875
37,4175.8037109375,2599.971923828125
38,4258.0849609375,2477.07177734375
39,4262.12744140625,2400.421630859375
40,4326.64013671875,2534.15380859375
41,4175.71875,2498.56640625
42,4158.61572265625,2317.369140625
43,4442.787109375,2381.597412109375
44,3899.884033203125,2194.0673828125
45,4122.4697265625,2386.88427734375
46,4070.674560546875,2535.3994140625
47,4388.9755859375,2330.65673828125
48,3867.61474609375,2368.17578125
49,4204.36962890625,2452.95068359375
